date,ticker,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,investment_buy,investment_sell,investment_net,dealer_buy,dealer_sell,dealer_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,total_net,source
2026-05-29,00778B.TW,凱基金融債20+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00779B.TW,凱基美債25+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00780B.TW,國泰A級金融債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00781B.TW,國泰A級科技債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00782B.TW,國泰A級公用債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00783.TW,富邦中証500,0,0,0,0,0,0,0,0,0,255500,280241,-24741,0,0,0,255500,280241,-24741,-24741,TWSE
2026-05-29,00785B.TW,富邦金融投等債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00786B.TW,元大10年IG銀行債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00787B.TW,元大10年IG醫療債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00788B.TW,元大10年IG電能債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00789B.TW,復華公司債A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00791B.TW,復華信用債1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00792B.TW,群益A級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00793B.TW,群益AAA-A醫療債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00795B.TW,中信美國公債20年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
